,Date,Short Description,Accurate Sentiments,Price,Open,High,Low,Vol.,Change %,roolin7,roolin30,shift_price,new Short Description,sentiment_result
29,2021-11-15 17:30:00,coinbase has announced it will allow users to easily share information about their crypto holdings and portfolio with their private or social network,0.0,68004.6,67084.7,68308.0,66924.6,33.58,1.37,70307.3857142857,82583.55,69954.1,coinbase announced allow users easily share information crypto holdings portfolio private social network,0
30,2021-11-15 22:00:00,the official the investigators stated xcaccepted gifts and moneyxd and attended orgiastic xcbanquetsxd seemingly funded by crypto miningrelated firms,0.0,67086.8,66694.5,67408.4,66443.8,42.05,0.58,69987.52857142857,81533.09,68004.6,official investigators stated xcaccepted gifts moneyxd attended orgiastic xcbanquetsxd seemingly funded crypto miningrelated firms,0
31,2021-11-16 16:21:00,daily bitesized digest of cryptoasset and blockchainrelated news,0.0,66696.8,68191.9,68756.8,65644.2,110.51,-2.19,69586.04285714285,80491.81000000001,67086.8,daily bitesized digest cryptoasset blockchainrelated news,0
32,2021-11-16 17:00:00,russian lawmakers and regulators are pressing for crypto change,0.0,68191.5,66659.2,68831.8,66510.6,82.78,2.29,69287.42857142857,79508.22666666667,66696.8,russian lawmakers regulators pressing crypto change,0
33,2021-11-16 19:00:00,xcthe application of the regulations constitutes real progress for the israeli economy the fintech industry and for improving financial competitionxd,0.99963641166687,66663.7,67428.6,67441.1,65246.7,84.99,-1.13,68475.41428571429,78432.69333333333,68191.5,xcthe application regulations constitutes real progress israeli economy fintech industry improving financial competitionxd,1
34,2021-11-16 21:00:00,development and property management firm magnum real estate group is selling a set of retail condos in new york city for usd m exclusively in btc,0.0,67427.3,67370.8,67815.3,66609.4,86.76,0.08,67717.82857142857,77401.12000000001,66663.7,development property management firm magnum real estate group selling set retail condos new york city usd exclusively btc,0
35,2021-11-17 08:48:00,xcthe details of the specific timing procedures and amount of such repayments' would be made clear later,0.0,67371.3,69030.5,69490.8,66845.5,109.28,-2.4,67348.85714285714,76503.36666666667,67427.3,xcthe details specific timing procedures amount repayments' would made clear later,0
36,2021-11-17 12:59:00,the government is said to allow citizens to hold cryptoassets as assets,0.0,69030.5,68373.3,69386.4,67443.9,44.92,0.96,67495.41428571429,75729.74333333333,67371.3,government said allow citizens hold cryptoassets assets,0
37,2021-11-17 13:55:00,lower costs and a stronger brand should attract more capital over the longterm some analysts argue,0.99960058927536,68372.0,68426.4,68688.8,68025.5,33.29,-0.07,67679.01428571428,74992.85333333333,69030.5,lower costs stronger brand attract capital longterm analysts argue,1
38,2021-11-17 16:32:00,your daily bitesized digest of cryptoasset and blockchainrelated news,0.0,68423.1,67416.5,68990.3,67190.9,99.2,1.49,67925.62857142858,74279.16666666667,68372.0,daily bitesized digest cryptoasset blockchainrelated news,0
39,2021-11-18 04:40:00,bitcoin price is consolidating near the usd  support ethereum is up  xrp broke the usd  resistance,0.9994999170303344,67418.4,67618.1,67933.5,66677.3,84.68,-0.3,67815.18571428572,73508.47666666665,68423.1,bitcoin price consolidating near usd support ethereum xrp broke usd resistance,1
40,2021-11-18 11:35:00,the regulation was published on november  and the measures entered into force on the same day,0.0,67617.9,67075.1,68389.4,66766.6,98.3,0.81,67951.5,72727.52333333333,67418.4,regulation published november measures entered force day,0
41,2021-11-18 12:50:00,internet sleuths tried to determine if the pm was referring to something akin to a chinastyle crypto crackdown x or if he was just having an ok boomer moment,0.0,67077.5,66084.1,67821.9,64850.6,136.72,1.51,67901.52857142857,72053.63999999998,67617.9,internet sleuths tried determine pm referring something akin chinastyle crypto crackdown x ok boomer moment,0
42,2021-11-18 13:48:00,a hamilton youngster has been arrested for alleged involvement in the theft of over usd m worth of digital assets,0.0,66081.7,62870.7,66476.6,62463.7,122.09,5.11,67717.3,71242.29000000001,67077.5,hamilton youngster arrested alleged involvement theft usd worth digital assets,0
43,2021-11-19 11:06:00,'[w]hat looks like a very interesting and somewhat exotic effort to literally mine new coins [] has the potential for undermining currencies for undermining the role of the dollar as the reserve currency []xd,-0.9913346171379088,62870.9,63205.4,63284.6,62054.2,42.26,-0.53,66837.35714285714,70406.61,66081.7,'[w]hat looks like interesting somewhat exotic effort literally mine new coins [] potential undermining currencies undermining role dollar reserve currency []xd,-1
44,2021-11-19 11:41:00,the overnight selloff triggered large liquidations of long positions in the crypto derivatives markets,-0.9946572184562684,63205.1,62506.6,63463.1,62486.1,40.91,1.13,66099.22857142857,69557.97666666667,62870.9,overnight selloff triggered large liquidations long positions crypto derivatives markets,-1
45,2021-11-19 13:00:00,the irs had seized a cool usd bn worth of tokens fy accounting for a whopping  of all the assets recovered by the agency in the year,0.0,62499.4,60317.5,63385.1,60080.6,86.38,3.62,65252.98571428571,68961.67333333334,63205.1,irs seized cool usd bn worth tokens fy accounting whopping assets recovered agency year,0
46,2021-11-19 16:30:00,wasabi wallet announced their lightning network privacy research grant consisting of btc  to help the production of a privacyfocused lightning network wallet,0.0,60316.2,60628.9,61304.6,59075.7,83.86,-0.52,64238.385714285716,68415.53666666667,62499.4,wasabi wallet announced lightning network privacy research grant consisting btc help production privacyfocused lightning network wallet,0
47,2021-11-20 02:00:00,meanwhile the central bank of korea bok is set to unveil its digital won plans in full next year,0.0,60628.8,62157.0,62537.0,60355.5,68.79,-2.46,63239.94285714285,67885.92,60316.2,meanwhile central bank korea bok set unveil digital plans full next year,0
48,2021-11-22 09:00:00,major french mobile financial services app lydia is slated to offer its m users exposure to a wide range of crypto assets after a partnership with bitpanda,0.0,62157.0,62226.9,63196.6,61883.2,63.75,-0.14,62537.014285714286,67428.86666666667,60628.8,major french mobile financial services app lydia slated offer users exposure wide range crypto assets partnership bitpanda,0
49,2021-11-22 09:43:00,international investors would also receive some additional bonuses namely permanent residency of el salvador and fasttracked citizenship applications,0.998683512210846,62245.6,62819.8,64449.3,62175.8,86.27,-0.91,61989.0,66984.17666666667,62157.0,international investors would also receive additional bonuses namely permanent residency el salvador fasttracked citizenship applications,1
50,2021-11-22 14:31:00,xchowever i don't see [cryptocurrencies] as [becoming] an official currency in the government's settlements yetxd,0.0,62819.4,62062.0,62934.5,61495.4,31.72,1.22,61981.642857142855,66765.70000000001,62245.6,xchowever see [cryptocurrencies] [becoming] official currency government's settlements yetxd,0
51,2021-11-22 14:57:00,xcwe are talking about some big numbers  per cent annualised it was not going to be plain vanilla replication of the [bitcoin] index without significant tracking errorxd,0.0,62061.4,62085.5,62366.8,61705.7,30.15,-0.03,61818.25714285715,66572.78666666667,62819.4,xcwe talking big numbers per cent annualised going plain vanilla replication [bitcoin] index without significant tracking errorxd,0
52,2021-11-23 08:44:00,developments could suggest binance is eyeing the emerald isle as a possible future center of gravity,0.0,62081.0,60751.4,62471.7,60469.3,72.71,2.19,61758.485714285714,66349.83333333333,62061.4,developments could suggest binance eyeing emerald isle possible future center gravity,0
53,2021-11-23 15:07:00,despite hitting aths earlier in november both btc and eth are still far from reaching what has historically been considered xcoverboughtxd territory says kraken intelligence,-0.9847334027290344,60751.2,60642.0,61468.9,59904.4,82.43,0.17,61820.62857142858,66064.01333333334,62081.0,despite hitting aths earlier november btc eth still far reaching historically considered xcoverboughtxd territory says kraken intelligence,-1
54,2021-11-23 16:27:00,your daily bitesized digest of cryptoasset and blockchainrelated news,0.0,60645.7,60834.2,62339.8,60002.7,98.94,-0.31,61823.04285714286,65768.62999999999,60751.2,daily bitesized digest cryptoasset blockchainrelated news,0
55,2021-11-23 21:00:00,the ceos will speak at a xcbig hearingxd that xcwill cover a variety of topicsxd x including stablecoin regulation and defi policies,0.0,60835.5,63329.9,64125.3,60195.9,134.93,-3.95,61634.25714285714,65453.75333333333,60645.7,ceos speak xcbig hearingxd xcwill cover variety topicsxd x including stablecoin regulation defi policies,0
56,2021-11-24 04:44:00,bitcoin price is showing bearish signs below usd  ethereum is trying to recover above usd  xrp is still above usd ,-0.9967694282531738,63339.2,65607.0,65607.0,62901.1,101.7,-3.46,61790.48571428571,65153.46666666667,60835.5,bitcoin price showing bearish signs usd ethereum trying recover usd xrp still usd,-1
57,2021-11-24 11:41:00,in cases where offenders make over usd m from their market manipulation efforts courts would be allowed to dish out life sentences,0.0,65607.1,65862.8,66065.7,65436.8,32.6,-0.39,62188.72857142857,64916.02333333333,63339.2,cases offenders make usd market manipulation efforts courts would allowed dish life sentences,0
58,2021-11-24 16:04:00,ripple xrp has announced a partnership with the republic of palau to explore the country's first national digital currency and its use cases with the xrp ledger xrpl,0.9895997047424316,65866.5,65775.6,66232.5,65438.1,35.0,0.14,62732.31428571428,64779.770000000004,65607.1,ripple xrp announced partnership republic palau explore country's first national digital currency use cases xrp ledger xrpl,1
59,2021-11-25 08:42:00,the move comes just days after adidas originals teamed up with metaverse player the sandbox,0.0,65776.3,65168.8,66440.7,64839.2,80.55,0.92,63260.21428571428,64705.49333333333,65866.5,move comes days adidas originals teamed metaverse player sandbox,0
60,2021-11-25 11:19:00,mica is meant to establish a regulatory framework for cryptoassets that would foster innovation while dora is designed to create one to cover digital operational resilience,0.0,65175.7,63157.2,65770.9,62693.3,96.06,3.2,63892.28571428572,64641.79,65776.3,mica meant establish regulatory framework cryptoassets would foster innovation dora designed create one cover digital operational resilience,0
61,2021-11-25 14:45:00,asked about binance's presence in europe ceo changpeng zhao said they are in the process of xcestablishing registered offices at several levels: local regional and globalxd,0.0,63156.5,64262.9,64788.4,62952.8,62.72,-1.71,64250.971428571436,64523.78,65175.7,asked binance's presence europe ceo changpeng zhao said process xcestablishing registered offices several levels: local regional globalxd,0
62,2021-11-25 21:00:00,with bitcoin's lightning network ln a new model for earning a noncustodial xclightning network reference ratexd lnrr has emerged one author argues,0.7816003561019897,64256.8,63335.9,64664.1,62740.8,76.71,1.46,64739.728571428575,64392.62333333333,63156.5,bitcoin's lightning network ln new model earning noncustodial xclightning network reference ratexd lnrr emerged one author argues,1
63,2021-11-26 10:42:00,selling pressure once again hit the crypto market on friday,-0.995753526687622,63331.8,63575.4,64723.4,62650.0,75.66,-0.38,64738.67142857143,64281.560000000005,64256.8,selling pressure hit crypto market friday,-1
64,2021-11-26 14:00:00,xcthe eu supervisory authorities should [] prevent the misuse of crypto assets for money laundering and terrorist financingxd,0.0,63572.7,63351.2,63998.2,62394.6,48.86,0.35,64448.04285714286,64153.073333333334,63331.8,xcthe eu supervisory authorities [] prevent misuse crypto assets money laundering terrorist financingxd,0
65,2021-11-26 16:01:00,the bank of canada should issue a central bank digital currency cbdc that can be converted into a xclooniexd a new report by cd howe institute said,0.0,63348.1,63201.2,63526.3,62778.6,33.2,0.23,64088.27142857143,64018.96666666667,63572.7,bank canada issue central bank digital currency cbdc converted xclooniexd new report cd howe institute said,0
66,2021-11-26 22:02:00,the protracted political struggle over south korean crypto tax has entered a new x and possibly decisive chapter,0.0,63201.2,62942.4,64085.1,62367.1,90.65,0.42,63720.4,63824.65666666666,63348.1,protracted political struggle south korean crypto tax entered new x possibly decisive chapter,0
67,2021-11-29 14:32:00,crypto market sentiment fell last week again,-0.9987553358078004,62938.6,61754.8,63849.6,61596.5,120.17,1.91,63400.81428571428,63643.54333333333,63201.2,crypto market sentiment fell last week,-1
68,2021-11-29 15:34:00,jack dorsey is wellknown as an advocate of bitcoin often calling it xcthe native currency of the internetxd,0.0,61757.6,60308.5,61757.6,59210.7,105.57,2.4,63200.97142857143,63421.36,62938.6,jack dorsey wellknown advocate bitcoin often calling xcthe native currency internetxd,0
69,2021-11-29 16:17:00,your daily bitesized digest of cryptoasset and blockchainrelated news,0.0,60309.1,58213.1,61309.0,57630.2,106.3,3.6,62637.014285714286,63184.38333333333,61757.6,daily bitesized digest cryptoasset blockchainrelated news,0
70,2021-11-29 17:10:00,'don't listen to anyone that tells you what will happen because nobody knows',0.0,58213.1,59126.2,59204.3,57527.8,87.6,-1.56,61905.771428571425,62870.89,60309.1,'don't listen anyone tells happen nobody knows',0
71,2021-11-30 04:38:00,bitcoin price is struggling to gain pace above usd  ethereum climbed above usd  xrp is testing the usd  hurdle,0.9992181062698364,59138.5,59995.6,60377.6,58717.9,47.01,-1.43,61272.31428571428,62606.25666666667,58213.1,bitcoin price struggling gain pace usd ethereum climbed usd xrp testing usd hurdle,1
